,question,correct,answerA,answerB,answerC,answerD,Further Expl.
,"In 2017 Jennifer Saran teamed up with Ladysmith Black Mambazo, singer/ songwriter Narada Michael Walden, and this world famous guitarist to record ""Wake Up,"" a song about world inequality and poverty. ",Carlos Santana,Carlos Santana,Eddie Van Halan ,Stevie Ray Vaughan,Chuck Berry,
,"Which Crosby, Stills, Nash & Young song was not on their 1970 album d�j� Vu? ",Southern Cross,Southern Cross,Woodstock,Teach Your Children,Our House,
,What's the first song off the first album by the LA hip-hop group Cypress Hill? ,"""Pigs""","""Pigs""","""Street Fightin Ese""","""Insane in the Membrane""","""I Want to Get High""",
,"In what Door's song does the line ""We Want the World and We Want it Now!"" appear?"," ""When the Music's Over"""," ""When the Music's Over""","""LA Women""","""Not to Touch the Earth""","""The End""",
,"Immortal Technique took the profits from his third album the 3rd World and helped to set up an orphanage in Kabul, Afghanistan after years of US intervention. What was this project called?", The Green Light Project, The Green Light Project,The Red Light Project,The Blue Light Project,The Black Light Project,
,What's the name of MC5's first and (generally considered their best) album? ,Kick out the Jams ,Kick out the Jams ,High Times,Back in the U.S.A.,Motor City Five ,
,Patti Smith recorded this landmark punk album in 1975. What was its name? ,Horses,Horses,Easter,Wave,Radio Ethiopia,
,"The song ""Ain't Gonna Let Nobody Turn Me Round"" was recorded by two artists in the 1960's. ",Pete Seeger and the SNCC Freedom Singers,Pete Seeger and the SNCC Freedom Singers,Phil Ochs and the Justice Singers,Woody Guthrie and the Liberty Singers,Paul Robeson and Revolution Singers,
,"This landmark 1988 alternative album by South Youth featured the song ""Teenage Riot."" ",Daydream Nation,Daydream Nation,Dirty,Goo,Evol,
,"The Irish musicians Bob Geldof and U2, have attacked this Burmese leader, accusing her of complicity in the ethnic cleansing of hundreds of thousands of Rohingya people. ",Aung San Suu Kyi,Aung San Suu Kyi,Corazon Aquino,Khin Kyi,Indira Gandhi,
